epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,772.878,1.97097,1.84114,2.71293,1.6609,0.16689,0.15517,0.08692,0.034,0.19415,0.16502,0.10896,0.03128,2.12484,1.85068,2.64484,1.82588,9.4654e-05,9.4654e-05,9.4654e-05
29,800.403,1.97398,1.83583,2.70443,1.68658,0.1445,0.15764,0.09079,0.03454,0.1891,0.18966,0.12037,0.03456,2.10032,1.84421,2.59192,1.81245,9.4456e-05,9.4456e-05,9.4456e-05
30,828.099,1.92695,1.78041,2.63811,1.64814,0.15571,0.16502,0.10393,0.04017,0.19057,0.20197,0.13118,0.04101,2.08937,1.82942,2.55913,1.80209,9.4258e-05,9.4258e-05,9.4258e-05
31,855.649,1.91231,1.80657,2.65816,1.63464,0.14451,0.16995,0.1069,0.04121,0.19458,0.19458,0.13693,0.04113,2.08043,1.81139,2.54765,1.78405,9.406e-05,9.406e-05,9.406e-05
32,883.279,1.91933,1.76723,2.59069,1.62095,0.16569,0.15764,0.10778,0.04275,0.19675,0.18719,0.13394,0.04165,2.0739,1.7914,2.49996,1.7699,9.3862e-05,9.3862e-05,9.3862e-05
33,910.905,1.89528,1.76855,2.58309,1.59737,0.17952,0.19458,0.11263,0.04446,0.21385,0.2069,0.1502,0.04592,2.07698,1.76708,2.5003,1.76253,9.3664e-05,9.3664e-05,9.3664e-05
34,938.438,1.92808,1.73715,2.57527,1.61906,0.1693,0.18966,0.12143,0.04978,0.21458,0.23153,0.15566,0.04827,2.04497,1.76736,2.48392,1.75428,9.3466e-05,9.3466e-05,9.3466e-05
35,966.057,1.82867,1.6908,2.50413,1.56387,0.18545,0.18227,0.12665,0.04986,0.24046,0.22906,0.15972,0.04993,2.04442,1.76079,2.46182,1.74452,9.3268e-05,9.3268e-05,9.3268e-05
36,993.644,1.89092,1.75635,2.4932,1.58074,0.17328,0.21269,0.13537,0.05468,0.24051,0.26108,0.18315,0.05585,2.03402,1.73853,2.40868,1.72727,9.307e-05,9.307e-05,9.307e-05
37,1021.17,1.88492,1.75289,2.48762,1.57319,0.19801,0.24631,0.14557,0.0576,0.25577,0.27094,0.19024,0.05897,2.0212,1.7232,2.39626,1.71541,9.2872e-05,9.2872e-05,9.2872e-05
38,1048.74,1.8803,1.68469,2.44249,1.57856,0.18711,0.23399,0.15759,0.062,0.2466,0.25862,0.19762,0.06434,2.0026,1.70725,2.34939,1.69429,9.2674e-05,9.2674e-05,9.2674e-05
39,1076.36,1.87555,1.74928,2.48011,1.57865,0.19555,0.25616,0.16249,0.06515,0.25067,0.27833,0.20748,0.06489,1.9958,1.69302,2.32024,1.69,9.2476e-05,9.2476e-05,9.2476e-05
40,1104.07,1.81546,1.7041,2.40951,1.54728,0.20166,0.30049,0.15136,0.05802,0.23749,0.32757,0.19716,0.06187,1.99407,1.6909,2.3472,1.68753,9.2278e-05,9.2278e-05,9.2278e-05
41,1131.4,1.86558,1.67678,2.3766,1.54058,0.20999,0.30049,0.17376,0.06838,0.28061,0.3399,0.22265,0.07197,1.96685,1.68162,2.28806,1.66396,9.208e-05,9.208e-05,9.208e-05
42,1159.06,1.82936,1.68744,2.33114,1.53515,0.22034,0.28818,0.17017,0.0662,0.26019,0.31773,0.21746,0.07126,1.97313,1.68236,2.29478,1.65392,9.1882e-05,9.1882e-05,9.1882e-05
43,1186.48,1.81509,1.69607,2.32611,1.53601,0.21494,0.29064,0.16791,0.06569,0.26102,0.30542,0.21452,0.06896,1.96584,1.67294,2.28452,1.65389,9.1684e-05,9.1684e-05,9.1684e-05
44,1213.88,1.80884,1.66338,2.34208,1.51265,0.21649,0.32759,0.17821,0.06938,0.26852,0.34448,0.22324,0.07286,1.94526,1.6561,2.25345,1.63858,9.1486e-05,9.1486e-05,9.1486e-05
45,1241.49,1.81441,1.6956,2.29647,1.52167,0.2275,0.3202,0.17603,0.06999,0.26776,0.34483,0.23768,0.07553,1.94521,1.65629,2.24147,1.63836,9.1288e-05,9.1288e-05,9.1288e-05
46,1269.05,1.81547,1.67236,2.31046,1.50462,0.22642,0.3202,0.18939,0.07421,0.26836,0.32759,0.24463,0.07855,1.92574,1.64859,2.22014,1.63198,9.109e-05,9.109e-05,9.109e-05
47,1296.66,1.76563,1.61304,2.27225,1.49157,0.2417,0.31773,0.19317,0.07574,0.29787,0.34169,0.25493,0.08124,1.91881,1.64293,2.20557,1.61076,9.0892e-05,9.0892e-05,9.0892e-05
