epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,766.601,2.43073,2.3535,2.80237,2.06611,0.00322,0.16502,0.00364,0.00094,0.00115,0.05911,0.00185,0.00031,3.88996,5.67496,4.67455,3.84602,9.4654e-05,9.4654e-05,9.4654e-05
29,793.703,2.41701,2.36398,2.76776,2.09081,0.10062,0.15517,0.04009,0.01156,0.12775,0.15764,0.05593,0.01366,3.06682,2.76443,7.12406,2.95035,9.4456e-05,9.4456e-05,9.4456e-05
30,820.845,2.43544,2.29612,2.75444,2.09276,0.03002,0.21429,0.02245,0.0065,0.0302,0.18473,0.02059,0.00457,2.90701,3.23489,5.31622,2.68989,9.4258e-05,9.4258e-05,9.4258e-05
31,848.03,2.41642,2.3026,2.77572,2.08989,0.05593,0.16995,0.02957,0.00779,0.06404,0.18473,0.04334,0.00983,3.02812,2.59805,5.63571,2.73664,9.406e-05,9.406e-05,9.406e-05
32,875.154,2.41528,2.28022,2.75819,2.07682,0.10986,0.08128,0.03311,0.01068,0.10986,0.08128,0.02648,0.00653,2.7669,4.17783,3.71041,2.38883,9.3862e-05,9.3862e-05,9.3862e-05
33,902.149,2.40713,2.32357,2.74128,2.06698,0.14275,0.08374,0.05138,0.01629,0.17214,0.10099,0.05633,0.01662,2.83423,2.65546,3.27067,2.37525,9.3664e-05,9.3664e-05,9.3664e-05
34,929.52,2.36413,2.28136,2.707,2.03996,0.16088,0.10591,0.05881,0.0198,0.17287,0.10345,0.06876,0.01678,2.6956,2.98007,2.80885,2.45453,9.3466e-05,9.3466e-05,9.3466e-05
35,956.912,2.34329,2.25831,2.68452,2.03448,0.01191,0.49754,0.04322,0.01321,0.01097,0.45813,0.03865,0.01121,2.84797,3.21396,3.47015,2.45096,9.3268e-05,9.3268e-05,9.3268e-05
36,984.18,2.35174,2.28036,2.66256,2.0233,0.10494,0.08621,0.04668,0.01447,0.14068,0.10837,0.05519,0.01439,2.74587,3.00056,2.8176,2.51694,9.307e-05,9.307e-05,9.307e-05
37,1011.25,2.34945,2.23493,2.65989,2.02317,0.17807,0.07143,0.0612,0.0175,0.15247,0.05539,0.05387,0.01054,2.7163,3.54352,2.9417,2.47827,9.2872e-05,9.2872e-05,9.2872e-05
38,1038.32,2.30604,2.16899,2.62078,1.98345,0.0108,0.60345,0.07138,0.02488,0.01058,0.59113,0.07993,0.02354,2.60648,2.69566,3.07489,2.37692,9.2674e-05,9.2674e-05,9.2674e-05
39,1065.73,2.36977,2.28528,2.67292,2.03847,0.19138,0.1133,0.07186,0.02482,0.20704,0.11823,0.08706,0.02595,2.67661,3.05409,3.24404,2.43938,9.2476e-05,9.2476e-05,9.2476e-05
40,1093.31,2.29415,2.20495,2.66355,2.00992,0.15063,0.21182,0.09209,0.02836,0.19093,0.25369,0.11971,0.0314,2.44913,2.4121,3.84307,2.25732,9.2278e-05,9.2278e-05,9.2278e-05
41,1120.88,2.30434,2.22673,2.62235,1.95199,0.06605,0.18473,0.04868,0.0134,0.08289,0.1798,0.06106,0.01352,2.79876,2.71995,3.5066,2.67483,9.208e-05,9.208e-05,9.208e-05
42,1148.07,2.26779,2.17658,2.5774,1.96015,0.00308,0.45567,0.02892,0.00977,0.00345,0.50985,0.03812,0.01073,3.00668,2.91557,5.96503,3.16842,9.1882e-05,9.1882e-05,9.1882e-05
43,1175.12,2.28393,2.21207,2.58414,1.96383,0.12442,0.08128,0.03322,0.00907,0.10066,0.06158,0.02355,0.00527,3.16189,4.39516,3.14932,2.52327,9.1684e-05,9.1684e-05,9.1684e-05
44,1202.19,2.28472,2.16875,2.6009,1.97146,0.19736,0.15271,0.11686,0.04381,0.19822,0.15517,0.10558,0.02904,2.39531,2.53337,2.681,2.16019,9.1486e-05,9.1486e-05,9.1486e-05
45,1229.66,2.29189,2.19783,2.58645,1.96917,0.08271,0.39163,0.0905,0.03142,0.15056,0.32266,0.12297,0.03462,2.39372,2.45832,2.88094,2.14461,9.1288e-05,9.1288e-05,9.1288e-05
