epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1169.75,1.94869,1.7251,2.26118,1.69971,0.25768,0.33498,0.20261,0.07261,0.28029,0.37192,0.23264,0.07146,2.06012,1.81545,2.24128,1.8416,0.00188516,0.00188516,0.00188516
31,1208.7,1.91844,1.72226,2.30344,1.67492,0.21332,0.30296,0.18169,0.0693,0.25614,0.30542,0.22334,0.07101,2.04372,1.92803,2.26219,1.79768,0.0018812,0.0018812,0.0018812
32,1247.7,1.88582,1.71963,2.29273,1.64254,0.25713,0.33251,0.21198,0.07917,0.29658,0.3867,0.24485,0.08099,2.0173,1.77425,2.20439,1.8096,0.00187724,0.00187724,0.00187724
33,1286.68,1.90459,1.71859,2.27736,1.67033,0.27536,0.27833,0.20365,0.07309,0.27964,0.30049,0.23099,0.07329,2.02758,1.80149,2.21773,1.80051,0.00187328,0.00187328,0.00187328
34,1325.59,1.88711,1.69093,2.2742,1.63455,0.20262,0.30292,0.17744,0.06486,0.2415,0.31368,0.22647,0.07261,2.02905,1.8498,2.28259,1.77779,0.00186932,0.00186932,0.00186932
35,1364.58,1.81228,1.70384,2.21732,1.59954,0.29108,0.30542,0.21989,0.07685,0.34392,0.3399,0.27486,0.08832,1.98461,1.80112,2.18836,1.76905,0.00186536,0.00186536,0.00186536
36,1403.95,1.85798,1.69804,2.19758,1.60908,0.30056,0.29557,0.22928,0.0863,0.32854,0.33005,0.26303,0.08525,2.00198,1.75805,2.17236,1.77811,0.0018614,0.0018614,0.0018614
37,1443.35,1.85955,1.6833,2.19695,1.61291,0.22431,0.3202,0.18983,0.06607,0.29321,0.34975,0.23991,0.07339,2.00837,1.76199,2.23743,1.78081,0.00185744,0.00185744,0.00185744
38,1482.36,1.82669,1.64318,2.17397,1.59189,0.28569,0.27833,0.21043,0.08285,0.32397,0.33251,0.25175,0.08523,1.975,1.70783,2.16487,1.7701,0.00185348,0.00185348,0.00185348
39,1521.32,1.86305,1.70165,2.20637,1.62249,0.35002,0.27833,0.24541,0.09578,0.3855,0.33251,0.29935,0.10198,1.93788,1.7268,2.10559,1.74355,0.00184952,0.00184952,0.00184952
40,1560.58,1.80595,1.64926,2.17138,1.59613,0.32105,0.3399,0.24594,0.09314,0.38708,0.33754,0.29855,0.0971,1.94258,1.80417,2.09349,1.75794,0.00184556,0.00184556,0.00184556
41,1599.57,1.82592,1.63004,2.10506,1.57993,0.33361,0.28079,0.23601,0.08922,0.38812,0.31527,0.27535,0.08566,1.96176,1.79027,2.16075,1.74385,0.0018416,0.0018416,0.0018416
42,1638.59,1.8284,1.672,2.12801,1.60453,0.29144,0.34236,0.22889,0.0837,0.33966,0.39901,0.26459,0.08359,1.9808,1.71012,2.1655,1.77247,0.00183764,0.00183764,0.00183764
43,1677.77,1.83334,1.65293,2.15233,1.58575,0.30511,0.30049,0.19367,0.07121,0.36904,0.30788,0.23245,0.07275,2.01406,1.71947,2.24482,1.79373,0.00183368,0.00183368,0.00183368
44,1716.71,1.83059,1.61886,2.13104,1.59341,0.29948,0.3202,0.25222,0.09225,0.38026,0.35468,0.31282,0.10156,2.05298,1.7164,2.09233,1.80303,0.00182972,0.00182972,0.00182972
45,1755.72,1.82361,1.65523,2.11321,1.59614,0.3325,0.27586,0.23164,0.08765,0.38717,0.30296,0.27553,0.09593,1.95222,1.72402,2.21329,1.73433,0.00182576,0.00182576,0.00182576
46,1794.69,1.80746,1.6164,2.08348,1.57644,0.33128,0.30788,0.25225,0.09441,0.36308,0.33744,0.27759,0.08989,2.00575,1.76205,2.09035,1.80773,0.0018218,0.0018218,0.0018218
47,1833.63,1.76086,1.59727,2.08938,1.57232,0.2725,0.31281,0.23796,0.0885,0.34661,0.32404,0.27861,0.09284,1.98566,1.7965,2.11664,1.76772,0.00181784,0.00181784,0.00181784
48,1872.73,1.77243,1.57637,2.0355,1.5632,0.30127,0.32512,0.23421,0.08864,0.35226,0.35468,0.28297,0.09279,2.0264,1.84758,2.15344,1.82864,0.00181388,0.00181388,0.00181388
49,1911.69,1.77743,1.59189,2.04326,1.55096,0.34761,0.36207,0.29182,0.10448,0.37242,0.39163,0.32142,0.10781,1.95891,1.69016,2.08346,1.73157,0.00180992,0.00180992,0.00180992
50,1951.01,1.72586,1.58156,2.05016,1.55157,0.29699,0.31527,0.22385,0.08622,0.32997,0.33744,0.25217,0.08378,1.93539,1.71789,2.19756,1.71348,0.00180596,0.00180596,0.00180596
51,1989.98,1.74785,1.55774,2.0852,1.57247,0.28858,0.34729,0.23255,0.07803,0.32978,0.37685,0.28165,0.0882,2.04741,1.88887,2.17903,1.81309,0.001802,0.001802,0.001802
52,2028.98,1.73572,1.5376,2.02236,1.54362,0.28155,0.33005,0.21909,0.08124,0.31032,0.35468,0.24828,0.08201,2.02052,1.75644,2.17939,1.78083,0.00179804,0.00179804,0.00179804
53,2067.98,1.70821,1.51501,1.98322,1.53006,0.3214,0.33251,0.28234,0.10927,0.38831,0.367,0.3259,0.108,1.99135,1.73708,2.08776,1.79426,0.00179408,0.00179408,0.00179408
54,2107.27,1.68702,1.5086,1.93224,1.50416,0.3262,0.33005,0.26384,0.10217,0.38827,0.37438,0.31308,0.10361,1.95022,1.71572,2.08009,1.76024,0.00179012,0.00179012,0.00179012
55,2146.2,1.73736,1.56087,2.00412,1.53347,0.33465,0.35555,0.2704,0.09613,0.39216,0.41379,0.33659,0.10414,2.02871,1.72231,2.07803,1.82404,0.00178616,0.00178616,0.00178616
56,2185.2,1.72628,1.57751,1.98218,1.53425,0.35938,0.28325,0.25798,0.09299,0.40688,0.34729,0.31179,0.10097,1.98318,1.72308,2.08157,1.77814,0.0017822,0.0017822,0.0017822
57,2224.24,1.72749,1.53337,2.01924,1.54053,0.31775,0.27833,0.21414,0.07707,0.38295,0.32266,0.2704,0.08495,2.08687,1.78215,2.23093,1.88568,0.00177824,0.00177824,0.00177824
58,2263.28,1.70721,1.53347,2.00178,1.51895,0.33924,0.3399,0.2858,0.10063,0.39781,0.39163,0.32974,0.10188,2.04127,1.73012,2.03532,1.83511,0.00177428,0.00177428,0.00177428
59,2302.28,1.69981,1.54693,1.99127,1.53015,0.29982,0.34729,0.25036,0.09399,0.30974,0.36207,0.26699,0.09301,2.01739,1.77295,2.16649,1.81116,0.00177032,0.00177032,0.00177032
60,2341.19,1.68963,1.49633,1.93323,1.50913,0.32621,0.33744,0.24331,0.08812,0.40298,0.34729,0.29824,0.09371,2.07588,1.72248,2.13274,1.8657,0.00176636,0.00176636,0.00176636
61,2380.1,1.69037,1.50268,1.9214,1.51119,0.3361,0.30542,0.25323,0.09055,0.35107,0.33498,0.27235,0.09299,2.01629,1.72252,2.141,1.79208,0.0017624,0.0017624,0.0017624
62,2419.01,1.67882,1.49715,1.89621,1.49917,0.33581,0.33005,0.25723,0.1032,0.37098,0.36461,0.29807,0.10657,2.0368,1.7242,2.09334,1.86087,0.00175844,0.00175844,0.00175844
63,2457.95,1.67736,1.48322,1.9,1.52,0.3173,0.30451,0.23768,0.08632,0.43501,0.38177,0.32521,0.09992,2.04117,1.67411,2.13428,1.84368,0.00175448,0.00175448,0.00175448
64,2496.87,1.65589,1.49637,1.90912,1.50083,0.29433,0.36207,0.24435,0.09275,0.37828,0.3867,0.29982,0.09582,1.99236,1.73059,2.09396,1.77342,0.00175052,0.00175052,0.00175052
65,2535.73,1.67543,1.50465,1.95767,1.5055,0.34095,0.34659,0.25139,0.10142,0.39329,0.37192,0.30638,0.10302,1.97817,1.71795,2.08919,1.77228,0.00174656,0.00174656,0.00174656
66,2574.65,1.66065,1.48227,1.89163,1.48996,0.32075,0.33251,0.26914,0.10158,0.34675,0.36207,0.29439,0.10013,1.98387,1.70976,2.0378,1.76754,0.0017426,0.0017426,0.0017426
67,2613.59,1.60982,1.44245,1.82514,1.47205,0.29421,0.35961,0.24,0.09289,0.32817,0.39409,0.2788,0.09567,2.01957,1.70601,2.09568,1.79506,0.00173864,0.00173864,0.00173864
68,2652.5,1.62806,1.43748,1.85691,1.46559,0.33108,0.34236,0.27474,0.09803,0.36442,0.37685,0.30784,0.10244,2.03729,1.71514,2.06813,1.79503,0.00173468,0.00173468,0.00173468
69,2691.34,1.59932,1.44687,1.86154,1.46195,0.36455,0.33005,0.25132,0.09351,0.40808,0.36946,0.29897,0.09443,2.08272,1.79831,2.12558,1.89178,0.00173072,0.00173072,0.00173072
70,2730.26,1.60867,1.4527,1.84482,1.46645,0.32753,0.34975,0.27009,0.10169,0.37233,0.38718,0.31375,0.10316,2.01801,1.69701,2.14056,1.81622,0.00172676,0.00172676,0.00172676
71,2769.18,1.63899,1.44639,1.82109,1.48483,0.33607,0.36453,0.2808,0.10113,0.37244,0.42857,0.31141,0.10219,2.03549,1.74831,2.11689,1.81376,0.0017228,0.0017228,0.0017228
72,2808.09,1.60553,1.4639,1.82916,1.45667,0.35866,0.34975,0.28386,0.10705,0.40514,0.40394,0.34888,0.11134,2.01939,1.73959,2.02583,1.80945,0.00171884,0.00171884,0.00171884
73,2847.3,1.64362,1.4367,1.82148,1.47131,0.37648,0.33498,0.28421,0.10935,0.42388,0.37438,0.32434,0.11389,2.04288,1.73563,2.04678,1.82373,0.00171488,0.00171488,0.00171488
74,2886.48,1.63778,1.44969,1.7957,1.47148,0.31051,0.38424,0.26852,0.1002,0.33692,0.37171,0.29186,0.10523,2.00042,1.69094,2.05264,1.77635,0.00171092,0.00171092,0.00171092
75,2925.4,1.61574,1.41611,1.85047,1.45384,0.35622,0.34975,0.27273,0.10206,0.41754,0.37685,0.32384,0.10607,2.03342,1.73002,2.05353,1.84348,0.00170696,0.00170696,0.00170696
76,2964.3,1.60571,1.44078,1.80607,1.47171,0.37042,0.33476,0.2678,0.09435,0.45456,0.36453,0.33887,0.11187,2.06907,1.6943,2.06566,1.85418,0.001703,0.001703,0.001703
77,3003.14,1.60434,1.46126,1.79955,1.46866,0.3821,0.34483,0.29782,0.10255,0.43665,0.38177,0.35739,0.11378,2.08775,1.73414,2.03955,1.84037,0.00169904,0.00169904,0.00169904
78,3042.06,1.59264,1.47047,1.77943,1.46829,0.40543,0.37438,0.30136,0.10786,0.40861,0.42611,0.34934,0.1172,2.02526,1.64473,2.04087,1.82919,0.00169508,0.00169508,0.00169508
79,3081.22,1.55663,1.39031,1.73594,1.42282,0.40045,0.35961,0.28898,0.10837,0.42844,0.39901,0.34045,0.11586,2.02653,1.72317,2.01353,1.81739,0.00169112,0.00169112,0.00169112
80,3120.12,1.56227,1.40956,1.75339,1.43535,0.34984,0.35651,0.28011,0.10632,0.43155,0.39829,0.34077,0.1152,2.06126,1.77308,2.10736,1.85912,0.00168716,0.00168716,0.00168716
81,3159,1.577,1.39755,1.72182,1.44701,0.31942,0.37685,0.24761,0.09205,0.3935,0.37438,0.30873,0.09816,2.10415,1.75687,2.11931,1.88092,0.0016832,0.0016832,0.0016832
