epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,420.756,1.15005,0.92504,1.19598,1.31622,0.42553,0.58826,0.45415,0.23154,0.68445,0.40787,0.52429,0.18484,1.84187,1.12592,1.63261,2.0553,0.000453016,0.000453016,0.000453016
31,434.905,1.11921,0.91997,1.14893,1.27861,0.47401,0.52718,0.4766,0.21021,0.56417,0.55376,0.565,0.21306,1.9083,1.09805,1.65323,2.12136,0.000452224,0.000452224,0.000452224
32,448.976,1.09506,0.909,1.12509,1.27842,0.44852,0.58718,0.48128,0.23671,0.45202,0.59282,0.51775,0.1908,1.88905,1.12523,1.59266,2.11521,0.000451431,0.000451431,0.000451431
33,463.101,1.10528,0.90863,1.15498,1.28019,0.62974,0.41502,0.46014,0.21092,0.67553,0.45189,0.50654,0.18842,2.03135,1.09912,1.67485,2.28682,0.000450639,0.000450639,0.000450639
34,476.878,1.10255,0.90274,1.13756,1.27382,0.50141,0.41313,0.40082,0.17024,0.49486,0.45768,0.43162,0.16203,1.97233,1.13617,1.7583,2.23168,0.000449846,0.000449846,0.000449846
35,491.023,1.08071,0.90162,1.12052,1.23882,0.4161,0.54843,0.52545,0.2738,0.50011,0.58685,0.59129,0.23386,1.89937,1.1675,1.7005,2.18007,0.000449054,0.000449054,0.000449054
36,505.134,1.0738,0.91102,1.09381,1.24857,0.51098,0.40177,0.39591,0.18217,0.6352,0.41837,0.45311,0.16165,1.86436,1.2899,1.72706,2.15248,0.000448261,0.000448261,0.000448261
37,519.278,1.02217,0.86229,1.03163,1.20817,0.57598,0.52084,0.46152,0.23597,0.60921,0.52526,0.48836,0.17487,1.88923,1.2516,1.71777,2.17618,0.000447469,0.000447469,0.000447469
38,533.075,0.99755,0.8714,1.01427,1.20027,0.54542,0.47268,0.49745,0.25587,0.54759,0.48356,0.50504,0.19752,1.92278,1.16649,1.52665,2.18419,0.000446676,0.000446676,0.000446676
39,547.247,1.02005,0.87118,1.00979,1.20954,0.48639,0.47676,0.49637,0.24462,0.66994,0.46717,0.58885,0.22897,1.92753,1.06951,1.64589,2.16463,0.000445883,0.000445883,0.000445883
40,560.941,1.02979,0.87351,1.00551,1.21292,0.47762,0.45953,0.43741,0.19396,0.68766,0.37238,0.50366,0.17616,2.01872,1.12153,1.72241,2.29919,0.000445091,0.000445091,0.000445091
41,575.094,1.01158,0.85731,0.98245,1.19683,0.47227,0.47497,0.46583,0.20589,0.47528,0.42817,0.46275,0.15825,1.89272,1.12418,1.66919,2.14552,0.000444298,0.000444298,0.000444298
42,588.902,1.00595,0.85834,0.96521,1.22147,0.44069,0.54729,0.44099,0.22664,0.51454,0.58685,0.52091,0.1894,1.9394,1.1471,1.58955,2.15824,0.000443506,0.000443506,0.000443506
43,603.037,0.98584,0.84783,0.96433,1.17914,0.37697,0.35775,0.32719,0.15033,0.38337,0.38393,0.35273,0.13569,1.95375,1.19635,1.7819,2.2703,0.000442713,0.000442713,0.000442713
44,616.755,0.9708,0.85661,0.94451,1.16231,0.53622,0.42911,0.37442,0.18284,0.5848,0.41072,0.45056,0.16296,1.85163,1.16705,1.66461,2.15268,0.000441921,0.000441921,0.000441921
45,630.859,0.9584,0.83568,0.9564,1.17234,0.49359,0.4012,0.41078,0.18905,0.4813,0.4454,0.42189,0.15831,1.92113,1.20754,1.77934,2.18875,0.000441128,0.000441128,0.000441128
46,644.589,0.97142,0.85079,0.93095,1.1774,0.43761,0.52228,0.46701,0.25464,0.49237,0.51377,0.48541,0.18703,1.88477,1.18837,1.59959,2.20689,0.000440336,0.000440336,0.000440336
47,658.66,0.92082,0.81221,0.87495,1.14752,0.43528,0.60659,0.53194,0.24194,0.40707,0.51787,0.45913,0.1629,1.90208,1.21482,1.5898,2.193,0.000439543,0.000439543,0.000439543
