epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,695.977,1.17682,0.95556,1.33967,1.32122,0.3905,0.45265,0.35501,0.17667,0.45022,0.43001,0.39397,0.15906,1.75721,1.17558,1.82441,1.94922,0.000453016,0.000453016,0.000453016
31,719.249,1.14501,0.93929,1.32225,1.3251,0.38336,0.47616,0.38052,0.19446,0.48535,0.41356,0.41487,0.16756,1.76368,1.19201,1.70083,1.98285,0.000452224,0.000452224,0.000452224
32,742.292,1.12689,0.95391,1.22749,1.29215,0.44163,0.44501,0.40446,0.2034,0.44065,0.48035,0.43978,0.18281,1.76234,1.18931,1.67198,1.98985,0.000451431,0.000451431,0.000451431
33,765.924,1.10824,0.93244,1.21304,1.27246,0.40984,0.41309,0.37836,0.19676,0.46649,0.43485,0.42586,0.16847,1.75999,1.19716,1.74917,1.97156,0.000450639,0.000450639,0.000450639
34,788.882,1.08191,0.93326,1.1977,1.25529,0.46115,0.43974,0.3732,0.19135,0.49675,0.43945,0.39866,0.16804,1.71202,1.14632,1.75533,1.92914,0.000449846,0.000449846,0.000449846
35,812.21,1.10096,0.93372,1.22171,1.27501,0.46815,0.45202,0.39028,0.20344,0.50999,0.49459,0.43879,0.17855,1.68847,1.15541,1.70408,1.90042,0.000449054,0.000449054,0.000449054
36,835.16,1.08451,0.93638,1.20624,1.26809,0.42581,0.42556,0.37011,0.18844,0.45739,0.44201,0.40965,0.16591,1.73917,1.22107,1.66192,1.97712,0.000448261,0.000448261,0.000448261
37,858.517,1.08789,0.9469,1.24975,1.26154,0.3745,0.42778,0.35954,0.18062,0.41995,0.43223,0.40098,0.16014,1.77379,1.25208,1.70078,1.98172,0.000447469,0.000447469,0.000447469
38,881.492,1.04867,0.92861,1.13222,1.23132,0.45362,0.41213,0.35956,0.17929,0.52834,0.40771,0.40588,0.16404,1.82475,1.23725,1.76356,2.014,0.000446676,0.000446676,0.000446676
39,904.788,1.05628,0.90643,1.10657,1.23717,0.41537,0.39971,0.3661,0.18638,0.50888,0.40509,0.40172,0.16288,1.80836,1.23688,1.78623,2.02117,0.000445883,0.000445883,0.000445883
40,927.773,1.03261,0.89925,1.10357,1.22537,0.3906,0.44062,0.35698,0.16843,0.40757,0.45304,0.38753,0.15466,1.8021,1.2659,1.75688,2.0656,0.000445091,0.000445091,0.000445091
